date,value,type
2014-07-01,0.74875,ECI Wage Growth (NAICS)
2014-10-01,0.57803,ECI Wage Growth (NAICS)
2015-01-01,0.65681,ECI Wage Growth (NAICS)
2015-04-01,0.16313,ECI Wage Growth (NAICS)
2015-07-01,0.65147,ECI Wage Growth (NAICS)
2015-10-01,0.56634,ECI Wage Growth (NAICS)
2016-01-01,0.6436,ECI Wage Growth (NAICS)
2016-04-01,0.71942,ECI Wage Growth (NAICS)
2016-07-01,0.47619,ECI Wage Growth (NAICS)
2016-10-01,0.55292,ECI Wage Growth (NAICS)
2017-01-01,0.70699,ECI Wage Growth (NAICS)
2017-04-01,0.62402,ECI Wage Growth (NAICS)
2017-07-01,0.69767,ECI Wage Growth (NAICS)
2017-10-01,0.69284,ECI Wage Growth (NAICS)
2018-01-01,0.84098,ECI Wage Growth (NAICS)
2018-04-01,0.68234,ECI Wage Growth (NAICS)
2018-07-01,0.90361,ECI Wage Growth (NAICS)
2018-10-01,0.67164,ECI Wage Growth (NAICS)
2019-01-01,0.66716,ECI Wage Growth (NAICS)
2019-04-01,0.73638,ECI Wage Growth (NAICS)
2019-07-01,0.87719,ECI Wage Growth (NAICS)
2019-10-01,0.65217,ECI Wage Growth (NAICS)
2020-01-01,1.00792,ECI Wage Growth (NAICS)
2020-04-01,0.35638,ECI Wage Growth (NAICS)
2020-07-01,0.56818,ECI Wage Growth (NAICS)
2020-10-01,0.84746,ECI Wage Growth (NAICS)
2021-01-01,1.19048,ECI Wage Growth (NAICS)
2021-04-01,0.89965,ECI Wage Growth (NAICS)
2021-07-01,1.5775,ECI Wage Growth (NAICS)
2021-10-01,1.14787,ECI Wage Growth (NAICS)
2022-01-01,1.26836,ECI Wage Growth (NAICS)
2022-04-01,1.58207,ECI Wage Growth (NAICS)
2022-07-01,1.16807,ECI Wage Growth (NAICS)
1980-04-01,2.4,ECI Wage Growth (SOC)
1980-07-01,2.1,ECI Wage Growth (SOC)
1980-10-01,2.1,ECI Wage Growth (SOC)
1981-01-01,2.5,ECI Wage Growth (SOC)
1981-04-01,2.2,ECI Wage Growth (SOC)
1981-07-01,1.7,ECI Wage Growth (SOC)
1981-10-01,2.1,ECI Wage Growth (SOC)
1982-01-01,1.9,ECI Wage Growth (SOC)
1982-04-01,1.1,ECI Wage Growth (SOC)
1982-07-01,1.8,ECI Wage Growth (SOC)
1982-10-01,1.1,ECI Wage Growth (SOC)
1983-01-01,1.1,ECI Wage Growth (SOC)
1983-04-01,1.3,ECI Wage Growth (SOC)
1983-07-01,1.3,ECI Wage Growth (SOC)
1983-10-01,1.3,ECI Wage Growth (SOC)
1984-01-01,1,ECI Wage Growth (SOC)
1984-04-01,1,ECI Wage Growth (SOC)
1984-07-01,0.6,ECI Wage Growth (SOC)
1984-10-01,1.2,ECI Wage Growth (SOC)
1985-01-01,1.2,ECI Wage Growth (SOC)
1985-04-01,1.2,ECI Wage Growth (SOC)
1985-07-01,1.2,ECI Wage Growth (SOC)
1985-10-01,0.6,ECI Wage Growth (SOC)
1986-01-01,1.2,ECI Wage Growth (SOC)
1986-04-01,0.6,ECI Wage Growth (SOC)
1986-07-01,0.6,ECI Wage Growth (SOC)
1986-10-01,0.8,ECI Wage Growth (SOC)
1987-01-01,0.9,ECI Wage Growth (SOC)
1987-04-01,0.6,ECI Wage Growth (SOC)
1987-07-01,1.1,ECI Wage Growth (SOC)
1987-10-01,0.7,ECI Wage Growth (SOC)
1988-01-01,0.9,ECI Wage Growth (SOC)
1988-04-01,1.1,ECI Wage Growth (SOC)
1988-07-01,0.9,ECI Wage Growth (SOC)
1988-10-01,1.1,ECI Wage Growth (SOC)
1989-01-01,1.2,ECI Wage Growth (SOC)
1989-04-01,0.9,ECI Wage Growth (SOC)
1989-07-01,1,ECI Wage Growth (SOC)
1989-10-01,1.2,ECI Wage Growth (SOC)
1990-01-01,1,ECI Wage Growth (SOC)
1990-04-01,1.2,ECI Wage Growth (SOC)
1990-07-01,1,ECI Wage Growth (SOC)
1990-10-01,0.6,ECI Wage Growth (SOC)
1991-01-01,1.1,ECI Wage Growth (SOC)
1991-04-01,1,ECI Wage Growth (SOC)
1991-07-01,0.8,ECI Wage Growth (SOC)
1991-10-01,0.8,ECI Wage Growth (SOC)
1992-01-01,0.8,ECI Wage Growth (SOC)
1992-04-01,0.6,ECI Wage Growth (SOC)
1992-07-01,0.5,ECI Wage Growth (SOC)
1992-10-01,0.8,ECI Wage Growth (SOC)
1993-01-01,0.8,ECI Wage Growth (SOC)
1993-04-01,0.7,ECI Wage Growth (SOC)
1993-07-01,0.7,ECI Wage Growth (SOC)
1993-10-01,0.9,ECI Wage Growth (SOC)
1994-01-01,0.4,ECI Wage Growth (SOC)
1994-04-01,0.9,ECI Wage Growth (SOC)
1994-07-01,0.7,ECI Wage Growth (SOC)
1994-10-01,0.6,ECI Wage Growth (SOC)
1995-01-01,0.9,ECI Wage Growth (SOC)
1995-04-01,0.7,ECI Wage Growth (SOC)
1995-07-01,0.7,ECI Wage Growth (SOC)
1995-10-01,0.7,ECI Wage Growth (SOC)
1996-01-01,1,ECI Wage Growth (SOC)
1996-04-01,1,ECI Wage Growth (SOC)
1996-07-01,0.7,ECI Wage Growth (SOC)
1996-10-01,0.8,ECI Wage Growth (SOC)
1997-01-01,0.8,ECI Wage Growth (SOC)
1997-04-01,0.9,ECI Wage Growth (SOC)
1997-07-01,0.9,ECI Wage Growth (SOC)
1997-10-01,1.3,ECI Wage Growth (SOC)
1998-01-01,0.9,ECI Wage Growth (SOC)
1998-04-01,0.8,ECI Wage Growth (SOC)
1998-07-01,1.3,ECI Wage Growth (SOC)
1998-10-01,0.9,ECI Wage Growth (SOC)
1999-01-01,0.2,ECI Wage Growth (SOC)
1999-04-01,1.2,ECI Wage Growth (SOC)
1999-07-01,0.9,ECI Wage Growth (SOC)
1999-10-01,1,ECI Wage Growth (SOC)
2000-01-01,1.1,ECI Wage Growth (SOC)
2000-04-01,1.1,ECI Wage Growth (SOC)
2000-07-01,0.9,ECI Wage Growth (SOC)
2000-10-01,0.8,ECI Wage Growth (SOC)
2001-01-01,1.2,ECI Wage Growth (SOC)
2001-04-01,0.9,ECI Wage Growth (SOC)
2001-07-01,0.7,ECI Wage Growth (SOC)
2001-10-01,1,ECI Wage Growth (SOC)
2002-01-01,0.9,ECI Wage Growth (SOC)
2002-04-01,0.9,ECI Wage Growth (SOC)
2002-07-01,0.4,ECI Wage Growth (SOC)
2002-10-01,0.5,ECI Wage Growth (SOC)
2003-01-01,1,ECI Wage Growth (SOC)
2003-04-01,0.7,ECI Wage Growth (SOC)
2003-07-01,0.7,ECI Wage Growth (SOC)
2003-10-01,0.4,ECI Wage Growth (SOC)
2004-01-01,0.7,ECI Wage Growth (SOC)
2004-04-01,0.5,ECI Wage Growth (SOC)
2004-07-01,0.8,ECI Wage Growth (SOC)
2004-10-01,0.4,ECI Wage Growth (SOC)
2005-01-01,0.5,ECI Wage Growth (SOC)
2005-04-01,0.6,ECI Wage Growth (SOC)
2005-07-01,0.6,ECI Wage Growth (SOC)
2005-10-01,0.7,ECI Wage Growth (SOC)
